symbol,S,K,r,sigma,T,isCall
SPY_P_99_0,104.23,99.89,0.0428,0.3375,1.4511,0
AAPL_P_63_1,73.50,63.79,0.0336,0.1701,1.6124,0
QQQ_C_355_2,397.41,355.90,0.0304,0.2046,0.5581,1
AMZN_C_461_3,471.93,461.52,0.0439,0.2110,1.4392,1
AAPL_P_291_4,303.37,291.27,0.0423,0.2598,1.6609,0
AAPL_P_475_5,463.65,475.60,0.0433,0.3272,1.7232,0
AMZN_C_122_6,140.87,122.70,0.0370,0.3078,1.7010,1
META_P_405_7,395.45,405.45,0.0428,0.1885,1.7941,0
GOOGL_P_412_8,402.15,412.70,0.0316,0.2865,0.7817,0
MSFT_P_144_9,161.02,144.48,0.0318,0.3290,0.7988,0
MSFT_C_141_10,142.42,141.62,0.0497,0.2600,1.8696,1
AMZN_P_234_11,204.52,234.63,0.0348,0.2575,0.7992,0
AMZN_C_262_12,242.13,262.82,0.0469,0.2820,1.9605,1
NVDA_P_122_13,108.75,122.52,0.0476,0.2881,1.9296,0
GOOGL_C_277_14,281.78,277.60,0.0385,0.2938,1.4695,1
GOOGL_C_408_15,386.68,408.04,0.0443,0.2658,1.8482,1
META_C_547_16,492.19,547.47,0.0454,0.1666,1.6286,1
NVDA_P_238_17,230.76,238.42,0.0343,0.2147,0.9783,0
GOOGL_C_87_18,77.85,87.38,0.0495,0.3315,0.5933,1
SPY_P_400_19,362.75,400.88,0.0417,0.2851,1.7435,0
META_C_203_20,178.62,203.88,0.0337,0.3068,1.6512,1
SPY_C_333_21,334.63,333.46,0.0476,0.2231,1.1600,1
NVDA_C_553_22,495.85,553.71,0.0329,0.3997,1.7528,1
META_P_256_23,231.82,256.78,0.0345,0.3810,0.9534,0
META_P_387_24,347.46,387.83,0.0329,0.3488,0.8227,0
SPY_P_439_25,421.36,439.57,0.0376,0.2277,1.9385,0
AMZN_P_419_26,460.23,419.60,0.0498,0.1827,0.4670,0
TSLA_P_62_27,68.97,62.10,0.0357,0.2366,0.9204,0
SPY_P_162_28,163.48,162.18,0.0324,0.2867,1.8512,0
MSFT_P_502_29,484.33,502.39,0.0338,0.3357,1.6801,0
GOOGL_C_184_30,171.51,184.37,0.0436,0.1623,1.4050,1
GOOGL_P_172_31,185.34,172.72,0.0384,0.1593,1.0644,0
MSFT_P_449_32,403.53,449.86,0.0342,0.2367,1.2866,0
AAPL_P_101_33,91.73,101.99,0.0379,0.2746,1.0684,0
META_C_400_34,455.07,400.62,0.0306,0.3987,0.7207,1
TSLA_P_344_35,390.40,344.94,0.0468,0.3839,0.5848,0
MSFT_P_287_36,284.63,287.76,0.0328,0.2540,1.9410,0
MSFT_C_347_37,374.49,347.30,0.0307,0.2839,0.2366,1
AMZN_C_504_38,487.64,504.63,0.0425,0.3532,0.9409,1
AMZN_P_430_39,435.73,430.10,0.0394,0.3077,1.8765,0
TSLA_C_403_40,372.64,403.97,0.0474,0.1566,1.7765,1
AMD_P_455_41,420.32,455.10,0.0324,0.3980,1.2761,0
QQQ_P_244_42,218.29,244.85,0.0418,0.1913,0.3661,0
QQQ_C_118_43,118.77,118.68,0.0475,0.1687,0.6201,1
AAPL_P_415_44,447.91,415.31,0.0452,0.3359,0.6071,0
