symbol,S,K,r,sigma,T,isCall
QQQ_C_332_0,324.32,332.91,0.0484,0.3572,1.5873,1
SPY_P_175_1,167.23,175.24,0.0379,0.3847,0.9818,0
NVDA_C_427_2,439.30,427.89,0.0360,0.3265,0.7951,1
AMD_P_442_3,454.04,442.02,0.0383,0.1841,0.1430,0
NVDA_P_201_4,197.24,201.30,0.0349,0.1863,1.5450,0
NVDA_C_125_5,127.02,125.14,0.0328,0.3833,1.4970,1
MSFT_P_317_6,350.92,317.28,0.0454,0.2974,0.4665,0
SPY_P_127_7,114.72,127.41,0.0470,0.2925,1.4430,0
GOOGL_C_345_8,306.04,345.73,0.0472,0.2777,1.7597,1
MSFT_C_270_9,277.08,270.71,0.0432,0.1619,0.2524,1
QQQ_P_437_10,485.66,437.42,0.0466,0.3772,1.3071,0
NVDA_P_90_11,91.52,90.18,0.0377,0.2721,1.0058,0
TSLA_P_297_12,314.91,297.45,0.0385,0.2403,1.3152,0
TSLA_P_153_13,149.74,153.90,0.0422,0.1587,0.1268,0
AAPL_C_121_14,113.32,121.18,0.0339,0.3746,0.6372,1
AMD_P_176_15,173.89,176.67,0.0438,0.3013,0.3751,0
TSLA_P_476_16,498.96,476.10,0.0387,0.3217,1.0608,0
AMZN_P_483_17,498.77,483.30,0.0463,0.1827,0.8652,0
GOOGL_P_85_18,97.60,85.74,0.0489,0.3329,1.7942,0
AMD_P_307_19,286.01,307.98,0.0466,0.2501,1.7147,0
MSFT_P_442_20,454.19,442.04,0.0440,0.3743,1.5633,0
AMD_P_253_21,230.79,253.75,0.0339,0.3360,0.1593,0
META_P_169_22,177.29,169.16,0.0424,0.2919,0.3981,0
GOOGL_P_312_23,290.87,312.40,0.0373,0.1855,1.3374,0
AMZN_C_169_24,170.77,169.75,0.0458,0.3191,1.0400,1
AMZN_C_295_25,309.11,295.58,0.0314,0.1714,0.4711,1
AAPL_P_115_26,106.12,115.41,0.0426,0.3581,0.1885,0
AMZN_C_390_27,379.18,390.91,0.0395,0.1941,1.2298,1
AMD_C_395_28,401.31,395.80,0.0330,0.3353,1.9247,1
NVDA_C_54_29,54.19,54.25,0.0357,0.3465,1.5405,1
SPY_P_518_30,493.61,518.71,0.0393,0.3602,1.9532,0
SPY_P_364_31,339.80,364.08,0.0493,0.3912,0.5253,0
NVDA_P_227_32,235.28,227.82,0.0491,0.3570,1.4863,0
NVDA_C_218_33,216.02,218.98,0.0434,0.3222,1.1732,1
AMD_C_252_34,221.64,252.69,0.0315,0.2274,0.8725,1
META_C_332_35,309.04,332.44,0.0434,0.3309,1.5463,1
GOOGL_C_188_36,170.55,188.11,0.0394,0.3340,1.5488,1
MSFT_C_343_37,337.20,343.19,0.0330,0.3420,0.3406,1
QQQ_P_403_38,379.42,403.61,0.0307,0.3057,1.3937,0
QQQ_P_176_39,205.54,176.69,0.0317,0.2864,0.3228,0
GOOGL_P_143_40,125.82,143.20,0.0429,0.2482,1.5363,0
QQQ_C_248_41,275.92,248.82,0.0500,0.2659,1.2037,1
GOOGL_C_176_42,187.35,176.13,0.0332,0.2864,1.7632,1
NVDA_P_227_43,225.24,227.44,0.0319,0.2605,0.4523,0
AMZN_P_107_44,122.52,107.31,0.0439,0.3220,1.8580,0
AMZN_C_147_45,172.37,147.82,0.0400,0.2403,0.6761,1
TSLA_P_362_46,317.37,362.83,0.0324,0.3940,0.5928,0
AAPL_C_220_47,244.33,220.64,0.0365,0.1706,0.7491,1
TSLA_C_270_48,286.67,270.22,0.0461,0.3690,0.5825,1
GOOGL_P_300_49,342.98,300.07,0.0411,0.2582,1.9353,0
META_C_374_50,332.44,374.96,0.0389,0.3233,1.9009,1
QQQ_C_533_51,481.07,533.08,0.0461,0.2833,0.9741,1
TSLA_C_272_52,281.14,272.08,0.0388,0.1642,0.3153,1
QQQ_C_103_53,120.59,103.56,0.0434,0.2171,1.0501,1
TSLA_P_99_54,103.11,99.37,0.0421,0.1754,0.6544,0
GOOGL_P_81_55,93.61,81.50,0.0358,0.3296,0.6476,0
MSFT_P_350_56,327.58,350.40,0.0484,0.3111,0.3217,0
AMD_P_248_57,255.95,248.51,0.0472,0.3182,1.3211,0
AMD_C_473_58,436.14,473.72,0.0497,0.2155,1.9865,1
AAPL_P_140_59,152.07,140.33,0.0401,0.1904,1.2588,0
AMD_P_453_60,475.79,453.86,0.0364,0.2886,1.5507,0
TSLA_C_520_61,475.34,520.38,0.0354,0.1916,0.7219,1
AMD_C_289_62,318.85,289.98,0.0463,0.2101,0.4393,1
AAPL_P_102_63,105.27,102.24,0.0403,0.2360,1.4516,0
GOOGL_P_184_64,187.44,184.57,0.0300,0.2774,0.3503,0
SPY_P_358_65,335.55,358.26,0.0365,0.2269,1.6437,0
NVDA_C_480_66,445.69,480.68,0.0385,0.3283,1.9689,1
META_P_216_67,211.55,216.95,0.0470,0.1953,1.5862,0
AMZN_P_266_68,277.37,266.76,0.0371,0.2120,1.8097,0
MSFT_C_66_69,66.07,66.47,0.0343,0.2191,0.4859,1
QQQ_C_358_70,390.79,358.87,0.0477,0.2340,1.6099,1
