symbol,S,K,r,sigma,T,isCall
AMD_C_93_0,100.31,93.36,0.0496,0.3012,0.1326,1
MSFT_P_62_1,56.60,62.48,0.0410,0.3236,0.1834,0
NVDA_P_277_2,256.99,277.41,0.0430,0.1567,0.5794,0
META_C_275_3,248.47,275.00,0.0495,0.2033,0.8940,1
AMD_C_425_4,417.44,425.62,0.0409,0.1925,1.9417,1
SPY_C_134_5,120.54,134.59,0.0399,0.1897,1.3392,1
NVDA_P_385_6,416.22,385.28,0.0353,0.3831,1.2947,0
AAPL_C_372_7,341.73,372.06,0.0469,0.3754,0.2453,1
NVDA_C_74_8,69.95,74.06,0.0353,0.2524,0.1500,1
AMZN_C_230_9,242.97,230.19,0.0437,0.3081,0.3565,1
AMD_P_300_10,282.28,300.53,0.0418,0.3531,1.9122,0
AAPL_C_475_11,438.03,475.10,0.0364,0.1680,0.9246,1
SPY_P_267_12,239.85,267.22,0.0335,0.2235,0.2922,0
MSFT_P_405_13,453.63,405.30,0.0419,0.2098,1.2442,0
GOOGL_C_188_14,209.45,188.77,0.0372,0.2608,0.4740,1
GOOGL_C_87_15,81.72,87.37,0.0457,0.2719,1.3404,1
META_P_220_16,218.46,220.73,0.0444,0.2620,0.8512,0
AMZN_P_280_17,298.18,280.06,0.0346,0.3014,0.9702,0
AAPL_C_146_18,171.61,146.62,0.0447,0.1981,1.3596,1
QQQ_C_445_19,396.86,445.02,0.0300,0.2758,1.7058,1
AMZN_C_134_20,126.57,134.11,0.0437,0.3944,0.6765,1
AAPL_P_281_21,261.75,281.62,0.0313,0.3667,1.6185,0
AMD_C_217_22,216.54,217.88,0.0395,0.1583,0.2912,1
SPY_P_294_23,316.41,294.85,0.0307,0.3378,1.8816,0
AMZN_P_303_24,275.36,303.71,0.0445,0.2655,1.3212,0
SPY_P_137_25,124.96,137.21,0.0358,0.3721,1.9472,0
NVDA_P_301_26,311.04,301.76,0.0301,0.3469,0.3404,0
GOOGL_C_499_27,485.78,499.43,0.0438,0.2797,1.2717,1
SPY_C_383_28,413.47,383.63,0.0468,0.2618,0.3627,1
GOOGL_P_99_29,112.57,99.38,0.0479,0.3689,1.9578,0
AMZN_C_472_30,499.30,472.05,0.0310,0.2335,1.6219,1
MSFT_P_348_31,346.60,348.95,0.0350,0.3300,1.9193,0
AMD_C_244_32,241.55,244.86,0.0356,0.2450,0.5811,1
AAPL_C_162_33,144.52,162.79,0.0454,0.3075,1.5043,1
QQQ_P_235_34,217.64,235.22,0.0329,0.3761,1.1163,0
AMZN_C_97_35,91.81,97.71,0.0434,0.1645,1.7593,1
NVDA_C_267_36,299.31,267.76,0.0478,0.2476,0.2540,1
NVDA_C_425_37,468.48,425.83,0.0417,0.2518,1.2566,1
TSLA_C_202_38,181.06,202.01,0.0380,0.3394,1.5796,1
AMD_P_333_39,314.39,333.06,0.0420,0.1781,1.6566,0
NVDA_C_367_40,339.87,367.87,0.0487,0.3176,0.6572,1
SPY_C_370_41,408.75,370.62,0.0488,0.2893,1.1254,1
MSFT_C_180_42,206.09,180.58,0.0486,0.2020,0.2002,1
TSLA_P_422_43,487.95,422.04,0.0335,0.2256,1.3561,0
TSLA_P_258_44,235.42,258.16,0.0374,0.2898,0.8106,0
SPY_P_78_45,70.57,78.71,0.0321,0.2275,1.0711,0
AMD_C_384_46,434.70,384.68,0.0321,0.3539,1.6486,1
AMZN_P_257_47,289.57,257.15,0.0433,0.2445,0.6834,0
AAPL_P_469_48,450.18,469.81,0.0403,0.1566,1.4543,0
META_P_520_49,481.98,520.77,0.0371,0.3618,1.4593,0
SPY_C_141_50,125.48,141.60,0.0484,0.1830,1.0098,1
TSLA_C_246_51,266.00,246.12,0.0487,0.2404,1.1766,1
